path	bytes	lines	extension	test_code
build.rs	11998	318	.rs	0
charts/ferrum-gateway/Chart.yaml	399	15	.yaml	0
charts/ferrum-gateway/README.md	16594	283	.md	0
charts/ferrum-gateway/examples/cp-values.yaml	1490	50	.yaml	1
charts/ferrum-gateway/examples/database-values.yaml	778	28	.yaml	1
charts/ferrum-gateway/examples/dp-values.yaml	1379	45	.yaml	1
charts/ferrum-gateway/examples/file-values.yaml	694	28	.yaml	1
charts/ferrum-gateway/examples/migrate-job-config.yaml	2569	79	.yaml	1
charts/ferrum-gateway/examples/migrate-job-status.yaml	2110	71	.yaml	1
charts/ferrum-gateway/examples/migrate-job-up-dry-run.yaml	2323	76	.yaml	1
charts/ferrum-gateway/examples/migrate-job-up.yaml	2603	79	.yaml	1
charts/ferrum-gateway/templates/configmap.yaml	426	12	.yaml	0
charts/ferrum-gateway/templates/deployment.yaml	8431	191	.yaml	0
charts/ferrum-gateway/templates/hpa.yaml	1050	33	.yaml	0
charts/ferrum-gateway/templates/pdb.yaml	919	21	.yaml	0
charts/ferrum-gateway/templates/service-admin.yaml	2387	45	.yaml	0
charts/ferrum-gateway/templates/service-cp-grpc.yaml	763	23	.yaml	0
charts/ferrum-gateway/templates/service.yaml	2984	64	.yaml	0
charts/ferrum-gateway/templates/serviceaccount.yaml	371	13	.yaml	0
charts/ferrum-gateway/values.schema.json	20387	548	.json	0
charts/ferrum-gateway/values.yaml	21044	477	.yaml	0
charts/ferrum-mesh/Chart.yaml	197	6	.yaml	0
charts/ferrum-mesh/dashboards/README.md	5289	90	.md	0
charts/ferrum-mesh/dashboards/certificate-posture.json	10501	397	.json	0
charts/ferrum-mesh/dashboards/egress-scope.json	8752	317	.json	0
charts/ferrum-mesh/dashboards/gateway-overview.json	11587	418	.json	0
charts/ferrum-mesh/dashboards/mesh-overview.json	11530	369	.json	0
charts/ferrum-mesh/dashboards/policy-deny.json	9003	309	.json	0
charts/ferrum-mesh/examples/development-values.yaml	1065	35	.yaml	1
